1	Who	who	P	WP	cat-P|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	2	k1	_	_
5	BJP	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-in|chunkType-child|stype-|voicetype-	3	child	_	_
6	is	be	v	VBZ	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	0	root	_	_
7	engaged	engage	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-is|chunkType-child|stype-|voicetype-	6	child	_	_
8	in	in	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP2|chunkType-head|stype-|voicetype-	6	k7	_	_
9	a	a	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-in2|chunkType-child|stype-|voicetype-	8	child	_	_
10	political	political	adj	JJ	cat-adj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-in2|chunkType-child|stype-|voicetype-	8	child	_	_
11	campaign	campaign	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-in2|chunkType-child|stype-|voicetype-	8	child	_	_
12	against	against	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP3|chunkType-head|stype-|voicetype-	8	nmod	_	_
13	Babulal	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-against|chunkType-child|stype-|voicetype-	12	child	_	_
14	Gaur	gaur	n	NNP	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-against|chunkType-child|stype-|voicetype-	12	child	_	_
15	at	at	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP4|chunkType-head|stype-|voicetype-	6	k7t	_	_
16	this	this	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-at|chunkType-child|stype-|voicetype-	15	child	_	_
17	time	time	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-at|chunkType-child|stype-|voicetype-	15	child	_	_
18	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-at|chunkType-child|stype-|voicetype-	15	child	_	_

